,Styrränta,Stat 2Y,Stat 5Y,Stat 10Y,Bostadsobl. 2Y
2026-03-09,1.75,2.132,2.399,2.718,2.425
2026-03-10,1.75,2.096,2.328,2.712,2.338
2026-03-11,1.75,2.117,2.437,2.768,2.388
2026-03-12,1.75,2.17,2.463,2.769,2.441
2026-03-13,1.75,2.15,2.437,2.759,2.441
2026-03-16,1.75,2.138,2.443,2.74,2.432
2026-03-17,1.75,2.138,2.407,2.698,2.4
2026-03-18,1.75,2.199,2.444,2.735,2.435
2026-03-19,1.75,2.307,2.492,2.78,2.575
2026-03-20,1.75,2.476,2.639,2.87,2.76
2026-03-23,1.75,2.329,2.537,2.75,2.702
2026-03-24,1.75,2.453,2.617,2.851,2.82
2026-03-25,1.75,2.446,2.625,2.86,2.776
2026-03-26,1.75,2.511,2.687,2.918,2.847
2026-03-27,1.75,2.534,2.689,2.959,2.855
2026-03-30,1.75,2.465,2.64,2.868,2.813
2026-03-31,1.75,2.401,2.598,2.813,2.749
2026-04-01,1.75,2.399,2.582,2.826,2.728
2026-04-02,1.75,2.474,2.612,2.903,2.76
2026-04-07,1.75,2.476,2.658,2.902,2.764
2026-04-08,1.75,2.307,2.477,2.747,2.522
2026-04-09,1.75,2.338,2.532,2.792,2.58
2026-04-10,1.75,2.316,2.53,2.78,2.563
2026-04-13,1.75,2.362,2.549,2.812,2.608
2026-04-14,1.75,2.289,2.489,2.783,2.531
2026-04-15,1.75,2.257,2.474,2.761,2.497
2026-04-16,1.75,2.245,2.477,2.76,2.474
2026-04-17,1.75,2.174,2.399,2.73,2.396
2026-04-20,1.75,2.206,2.434,2.738,2.429
2026-04-21,1.75,2.246,2.462,2.746,2.45
2026-04-22,1.75,2.244,2.454,2.766,2.484
2026-04-23,1.75,2.299,2.49,2.743,2.507
2026-04-24,1.75,2.309,2.499,2.737,2.519
2026-04-27,1.75,2.315,2.501,2.777,2.52
2026-04-28,1.75,2.388,2.548,2.801,2.608
2026-04-29,1.75,2.437,2.597,2.814,2.659
2026-04-30,1.75,2.409,2.565,2.781,2.686
2026-05-04,1.75,2.414,2.551,2.779,2.653
2026-05-05,1.75,2.439,2.594,2.79,2.651
2026-05-06,1.75,2.214,2.431,2.715,2.44
2026-05-07,1.75,2.208,2.413,2.67,2.41
2026-05-08,1.75,2.212,2.425,2.67,2.432
2026-05-11,1.75,2.306,2.488,2.725,2.48
2026-05-12,1.75,2.363,2.549,2.79,2.533
2026-05-13,1.75,2.349,2.536,2.781,2.52
2026-05-15,1.75,2.386,2.595,2.84,2.536
2026-05-18,1.75,2.371,2.575,2.828,2.508
2026-05-19,1.75,2.38,2.604,2.854,2.531
2026-05-20,1.75,2.349,2.588,2.835,2.486
2026-05-21,1.75,2.305,2.524,2.776,2.457
2026-05-22,1.75,2.265,2.47,2.73,2.422
2026-05-25,1.75,2.146,2.362,2.658,2.322
2026-05-26,1.75,2.185,2.385,2.659,2.36
2026-05-27,1.75,2.193,2.366,2.65,2.352
2026-05-28,1.75,2.195,2.402,2.671,2.33
2026-05-29,1.75,2.253,2.444,2.726,2.369
2026-06-01,1.75,2.307,2.509,2.779,2.425
2026-06-02,1.75,2.274,2.466,2.734,2.418
2026-06-03,1.75,2.301,2.518,2.871,2.594
2026-06-04,1.75,2.331,2.513,2.864,2.622
2026-06-05,1.75,2.343,2.543,2.882,2.638
2026-06-08,1.75,2.375,2.57,2.891,2.695
2026-06-09,1.75,2.349,2.533,2.875,2.67
2026-06-10,1.75,2.35,2.543,2.879,2.675
2026-06-11,1.75,2.34,2.507,2.851,2.65
2026-06-12,1.75,2.309,2.509,2.855,2.615
2026-06-15,1.75,2.223,2.421,2.799,2.52
2026-06-16,1.75,2.26,2.447,2.807,2.539
2026-06-17,1.75,2.192,2.399,2.769,2.522
2026-06-18,1.75,2.217,2.406,2.769,2.518
2026-06-22,1.75,2.208,2.394,2.759,2.483
2026-06-23,1.75,2.148,2.345,2.705,2.428
2026-06-24,1.75,2.13,2.312,2.675,2.413
2026-06-25,1.75,2.109,2.286,2.645,2.398
2026-06-26,1.75,2.131,2.311,2.658,2.399
2026-06-29,1.75,2.136,2.312,2.656,2.417
2026-06-30,1.75,2.13,2.321,2.671,2.427
2026-07-01,1.75,2.142,2.343,2.701,2.417
2026-07-02,1.75,2.16,2.357,2.74,2.43
2026-07-03,1.75,2.162,2.377,2.759,2.419
2026-07-06,1.75,2.141,2.367,2.759,2.44
2026-07-07,1.75,2.188,2.407,2.798,2.46
2026-07-08,1.75,2.293,2.514,2.889,2.575
2026-07-09,1.75,2.299,2.504,2.873,2.565
2026-07-10,1.75,2.27,2.488,2.86,2.56
2026-07-13,1.75,2.326,2.54,2.898,2.6
2026-07-14,1.75,2.366,2.571,2.923,2.642
2026-07-15,1.75,2.384,2.606,2.942,2.673
2026-07-16,1.75,2.36,2.583,2.953,2.659
2026-07-17,1.75,2.35,2.562,2.922,2.654
2026-07-20,1.75,2.364,2.574,2.935,2.663
2026-07-21,1.75,2.398,2.702,2.98,2.697
2026-07-22,1.75,2.458,2.742,3.012,2.752
2026-07-23,1.75,2.494,2.776,3.025,2.807
2026-07-24,1.75,2.478,2.756,3.012,2.787
2026-07-27,1.75,2.392,2.696,2.965,2.702
2026-07-28,1.75,2.377,2.666,2.938,2.665
2026-07-29,1.75,2.419,2.706,2.966,2.699
2026-07-30,1.75,2.407,2.726,3.003,2.696
2026-07-31,1.75,2.445,2.761,3.033,2.754
2026-08-03,1.75,2.406,2.717,3.001,2.699
2026-08-04,1.75,2.379,2.653,2.967,2.657
2026-08-05,1.75,2.37,2.661,2.96,2.663
2026-08-06,1.75,2.438,2.722,3.002,2.718
2026-08-07,1.75,2.454,2.723,3.008,2.73
2026-08-10,1.75,2.479,2.752,3.032,2.757
2026-08-11,1.75,2.444,2.736,3.011,2.749
2026-08-12,1.75,2.441,2.715,3.0,2.719
2026-08-13,1.75,2.416,2.678,2.967,2.712
2026-08-14,1.75,2.441,2.734,3.017,2.721
2026-08-17,1.75,2.439,2.741,3.037,2.731
2026-08-18,1.75,2.473,2.787,3.08,2.79
2026-08-19,1.75,2.455,2.778,3.073,2.779
2026-08-20,1.75,2.421,2.73,3.029,2.717
2026-08-21,1.75,2.397,2.726,3.028,2.709
2026-08-24,1.75,2.402,2.745,3.039,2.754
2026-08-25,1.75,2.418,2.721,3.017,2.732
2026-08-26,1.75,2.407,2.708,3.007,2.745
2026-08-27,1.75,2.434,2.735,3.026,2.762
2026-08-28,1.75,2.492,2.793,3.068,2.799
2026-08-31,1.75,2.524,2.853,3.117,2.826
2026-09-01,1.75,2.546,2.864,3.134,2.877
2026-09-02,1.75,2.594,2.893,3.167,2.91
2026-09-03,1.75,2.545,2.847,3.134,2.892
2026-09-04,1.75,2.517,2.82,3.1,2.843
2026-09-07,1.75,2.496,2.825,3.101,2.832
2026-09-08,1.75,2.503,2.822,3.089,2.837
2026-09-09,1.75,2.56,2.885,3.15,2.901
2026-09-10,1.75,2.679,2.99,3.227,3.039
2026-09-11,1.75,2.706,2.989,3.227,3.048
2026-09-14,1.75,2.778,3.04,3.244,3.161
2026-09-15,1.75,2.767,3.04,3.25,3.151
2026-09-16,1.75,2.767,3.035,3.235,3.107
2026-09-17,1.75,2.731,2.988,3.182,3.099
2026-09-18,1.75,2.787,3.031,3.208,3.133
2026-09-21,1.75,2.72,2.964,3.143,3.059
2026-09-22,1.75,2.689,2.929,3.117,3.033
2026-09-23,1.75,2.771,3.03,3.219,3.117
